1;Jonas Vingegaard;Jumbo-Visma;82H 05' 42'';-
2;Tadej Pogačar;Uae Team Emirates;82H 13' 11'';+ 00H 07' 29''
3;Adam Yates;Uae Team Emirates;82H 16' 38'';+ 00H 10' 56''
4;Simon Yates;Team Jayco Alula;82H 18' 05'';+ 00H 12' 23''
5;Carlos Rodriguez Cano;Ineos Grenadiers;82H 18' 59'';+ 00H 13' 17''
6;Pello Bilbao Lopez De Armentia;Bahrain Victorious;82H 19' 09'';+ 00H 13' 27''
7;Jai Hindley;Bora - Hansgrohe;82H 20' 26'';+ 00H 14' 44''
8;Felix Gall;Ag2R Citroen Team;82H 21' 51'';+ 00H 16' 09''
9;David Gaudu;Groupama - Fdj;82H 28' 50'';+ 00H 23' 08''
10;Guillaume Martin Guyonnet;Cofidis;82H 32' 12'';+ 00H 26' 30''
11;Thibaut Pinot;Groupama - Fdj;82H 33' 45'';+ 00H 28' 03''
12;Sepp Kuss;Jumbo-Visma;82H 43' 14'';+ 00H 37' 32''
13;Thomas Pidcock;Ineos Grenadiers;82H 53' 34'';+ 00H 47' 52''
14;Rafal Majka;Uae Team Emirates;83H 01' 51'';+ 00H 56' 09''
15;Jonathan Castroviejo Nicolas;Ineos Grenadiers;83H 02' 19'';+ 00H 56' 37''
16;Chris Harper;Team Jayco Alula;83H 03' 11'';+ 00H 57' 29''
17;Ben O'connor;Ag2R Citroen Team;83H 10' 41'';+ 01H 04' 59''
18;Wilco Kelderman;Jumbo-Visma;83H 12' 28'';+ 01H 06' 46''
19;Mikel Landa Meana;Bahrain Victorious;83H 18' 23'';+ 01H 12' 41''
20;Valentin Madouas;Groupama - Fdj;83H 19' 52'';+ 01H 14' 10''
21;Emanuel Buchmann;Bora - Hansgrohe;83H 21' 26'';+ 01H 15' 44''
22;Warren Barguil;Team Arkea - Samsic;83H 22' 48'';+ 01H 17' 06''
23;Felix Grossschartner;Uae Team Emirates;83H 51' 03'';+ 01H 45' 21''
24;Tiesj Benoot;Jumbo-Visma;83H 52' 37'';+ 01H 46' 55''
25;Clément Berthet;Ag2R Citroen Team;83H 56' 01'';+ 01H 50' 19''
